[2026-06-29 13:23:43] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/tableau_bord_directeur.php | ip=::1 | message=mysqli_sql_exception: Unknown database 'epim_gestion_codexn' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\db.php:10
[2026-06-29 13:23:43] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=system_error | ip=::1 | message=error_page_displayed
[2026-06-29 13:23:59] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/tableau_bord_directeur.php | ip=::1 | message=mysqli_sql_exception: Unknown database 'epim_gestion_codexn' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\db.php:10
[2026-06-29 13:23:59] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=system_error | ip=::1 | message=error_page_displayed
[2026-06-29 13:24:11] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=system_error | ip=::1 | message=error_page_displayed
[2026-06-29 14:00:56] type=404 | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/edition_etats.php | ip=::1 | message=error_page_displayed
[2026-06-29 14:01:25] type=404 | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/edition_etats.php | ip=::1 | message=error_page_displayed
[2026-06-29 16:26:16] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-06-30 00:26:26] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-06-30 11:25:03] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-06-30 12:56:37] type=system_error | user=- | role=- | page=.\tools\generate_unite_import_test_files.php | ip=CLI | message=ErrorException: Trying to access array offset on value of type int in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\DefaultValueBinder.php:58
[2026-06-30 12:58:12] type=system_error | user=- | role=- | page=.\tools\generate_unite_import_test_files.php | ip=CLI | message=ErrorException: Trying to access array offset on value of type int in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\DefaultValueBinder.php:58
[2026-07-01 10:55:40] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-02 11:01:16] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-02 11:01:18] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-02 12:51:28] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-02 13:34:30] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-02 13:34:31] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-02 16:44:17] type=system_error | user=- | role=- | page=Standard input code | ip=CLI | message=mysqli_sql_exception: No connection could be made because the target machine actively refused it in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\db.php:10
[2026-07-02 17:04:10] type=system_error | user=- | role=- | page=Standard input code | ip=CLI | message=mysqli_sql_exception: No connection could be made because the target machine actively refused it in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\db.php:10
